item_id,acronym,gold,candidates,response,correct,valid,multi_sense_type
ha-01739,מהר״י,רבי יעקב בירב,רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,מהר״י הוא ראשי התיבות של משה חיות יצחק.,False,False,no
ha-01740,מהר״י,רבי יצחק אבוהב (גאון קסטיליה),רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,רב יוחנן ישעיהו,False,False,no
ha-01741,מהר״י,רבי ישראל יעקב אלגאזי,רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,רבי יצחק בכר דוד בקושטא,False,False,no
ha-00089,או״פ,או פסול,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,אכן או״פ מסמנים את השפה כתקנית או לא תקין.,False,False,yes
ha-00090,או״פ,אוניברסיטה פתוחה,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,או״פ היא ראשי תיבות של אוניברסיטה אופטימלית.,False,False,yes
ha-00091,או״פ,אוניברסיטה פתוחה,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,אקדמיתalyzed,False,False,yes
ha-00092,או״פ,אוניברסיטה פתוחה,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,او״פ היא ראשי תיבות של האוניברסיטה של האגן.,False,False,yes
ha-00093,או״פ,אור פנימי,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,ארגוןolina-Peul,False,False,yes
ha-00094,או״פ,אור פנימי,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים, wahabbism,False,False,yes
ha-00299,א״ח,אגף חקירות,אורך חיים | אגף חקירות,"העומד אחה""צ",False,False,yes
ha-00300,א״ח,אגף חקירות,אורך חיים | אגף חקירות,האזרחים,False,False,yes
ha-00301,א״ח,אגף חקירות,אורך חיים | אגף חקירות,ראש אגף אספיפלי חילופי משק,False,False,yes
ha-00302,א״ח,אורך חיים,אורך חיים | אגף חקירות,ה bäוור (Bauhaus),False,False,yes
ha-00303,א״ח,אורך חיים,אורך חיים | אגף חקירות,איך חצי החיים,False,False,yes
ha-00304,א״ח,אורך חיים,אורך חיים | אגף חקירות,HeaderCode או פלMutex,False,False,yes
ha-01302,ט״א,טביעת אצבע,טביעת אצבע | טווח-ארוך | תעופה טיס אוטומטי,תבנית לוחץ אצבע,False,False,no
ha-01303,ט״א,טביעת אצבע,טביעת אצבע | טווח-ארוך | תעופה טיס אוטומטי,תעודת זהות,False,False,no
ha-01304,ט״א,טביעת אצבע,טביעת אצבע | טווח-ארוך | תעופה טיס אוטומטי,תחום אופייני,False,False,no
ha-01898,מס״ב,מסילת ברזל,מסע בין כוכבים | מסילת ברזל | מרכז סליקה בנקאי | מערכת סליקה בנקאית, מס״ב = מסילת רכבת,False,False,yes
ha-01899,מס״ב,מסילת ברזל,מסע בין כוכבים | מסילת ברזל | מרכז סליקה בנקאי | מערכת סליקה בנקאית,מכס של בנק ישראל,False,False,yes
ha-01900,מס״ב,מסילת ברזל,מסע בין כוכבים | מסילת ברזל | מרכז סליקה בנקאי | מערכת סליקה בנקאית,מסגרת שיתוף פעולה-economic partnership agreement,False,False,yes
ha-01901,מס״ב,מסע בין כוכבים,מסע בין כוכבים | מסילת ברזל | מרכז סליקה בנקאי | מערכת סליקה בנקאית,ממשי סברנים ביטחון,False,False,yes
ha-01902,מס״ב,מסע בין כוכבים,מסע בין כוכבים | מסילת ברזל | מרכז סליקה בנקאי | מערכת סליקה בנקאית,מס״ב = מיניסדריל סדרות בדילוג,False,False,yes
ha-01903,מס״ב,מסע בין כוכבים,מסע בין כוכבים | מסילת ברזל | מרכז סליקה בנקאי | מערכת סליקה בנקאית,מסדרות בליטורגלית,False,False,yes
ha-01715,מהרי״ץ,יהודה צבי ברנדויין (הראשון),יוסף צבי דושינסקי | יצחק מוולוז'ין | יהודה צבי ברנדויין (הראשון) | מארי יחיא צאלח | יוסף צבי דינר (או דונר) | רבנים מהאחרונים,רב מהרי״ץ הוא ראשי תיבות של רבי מרדכי ישעיהו צ'יצ'ינסקי.,False,False,yes
ha-01716,מהרי״ץ,יוסף צבי דושינסקי,יוסף צבי דושינסקי | יצחק מוולוז'ין | יהודה צבי ברנדויין (הראשון) | מארי יחיא צאלח | יוסף צבי דינר (או דונר) | רבנים מהאחרונים,רבי מנחם יש İsrael Isaac Halpern,False,False,yes
ha-01717,מהרי״ץ,יוסף צבי דושינסקי,יוסף צבי דושינסקי | יצחק מוולוז'ין | יהודה צבי ברנדויין (הראשון) | מארי יחיא צאלח | יוסף צבי דינר (או דונר) | רבנים מהאחרונים,רב משה קורניצר,False,False,yes
ha-01718,מהרי״ץ,יוסף צבי דושינסקי,יוסף צבי דושינסקי | יצחק מוולוז'ין | יהודה צבי ברנדויין (הראשון) | מארי יחיא צאלח | יוסף צבי דינר (או דונר) | רבנים מהאחרונים,ראשי התיבות מייצגות את השם הרב רביialis.,False,False,yes
ha-01719,מהרי״ץ,יצחק מוולוז'ין,יוסף צבי דושינסקי | יצחק מוולוז'ין | יהודה צבי ברנדויין (הראשון) | מארי יחיא צאלח | יוסף צבי דינר (או דונר) | רבנים מהאחרונים,"רב מורי זלמן מימדיש ז'!!, רבי של ליליאן פון איסנ📐!.",False,False,yes
ha-01720,מהרי״ץ,יצחק מוולוז'ין,יוסף צבי דושינסקי | יצחק מוולוז'ין | יהודה צבי ברנדויין (הראשון) | מארי יחיא צאלח | יוסף צבי דינר (או דונר) | רבנים מהאחרונים,ראש ישיבת וולוז'ין,False,False,yes
ha-01721,מהרי״ץ,יצחק מוולוז'ין,יוסף צבי דושינסקי | יצחק מוולוז'ין | יהודה צבי ברנדויין (הראשון) | מארי יחיא צאלח | יוסף צבי דינר (או דונר) | רבנים מהאחרונים,רב מנחם ר zalман שפטרוביץ' יפה,False,False,yes
ha-00422,בא״ח,בן איש חי,בן איש חי | בסיס אימונים חטיבתי,"ביה""ח",False,False,no
ha-00423,בא״ח,בן איש חי,בן איש חי | בסיס אימונים חטיבתי,באורעח,False,False,no
ha-00424,בא״ח,בן איש חי,בן איש חי | בסיס אימונים חטיבתי,בית אומית חנ_STRUCTIsrael Committee,False,False,no
ha-00463,בד״ר,בית דין רבני,בית דין רבני | בן דב רפפורט,buyer's direct response,False,False,no
ha-02371,עה״ש,עלות השחר,עלות השחר | עליו השלום,עַמּוּד הַשַׁחַר,False,False,no
ha-02372,עה״ש,עלות השחר,עלות השחר | עליו השלום,עומק שומר שמש,False,False,no
ha-02373,עה״ש,עלות השחר,עלות השחר | עליו השלום,urgence de la synagogue,False,False,no
ha-02374,עה״ש,עליו השלום,עלות השחר | עליו השלום,"עה״ש היא ראשי תיבות ל"" אלהים שלח"".",False,False,no
ha-02276,סד״ג,סדר גודל,סדר גודל | סירת דייג,סידור אינדקסים גלובליים,False,False,no
ha-02277,סד״ג,סדר גודל,סדר גודל | סירת דייג,מספר תALLYAML代码块结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束标记开始标记数值排序标记结束标记结束-marker,False,False,no
ha-02278,סד״ג,סדר גודל,סדר גודל | סירת דייג,סידג = סולם דיכוטומי לוגריתמי,False,False,no
ha-01133,חו״ב,חזק וברוך,חריף ובקי | חכמה ובינה | חזק וברוך, חזק ואמץ,False,False,yes
ha-01134,חו״ב,חזק וברוך,חריף ובקי | חכמה ובינה | חזק וברוך,חיבוק,False,False,yes
ha-01135,חו״ב,חזק וברוך,חריף ובקי | חכמה ובינה | חזק וברוך,חידוש בורא והודעה,False,False,yes
ha-01136,חו״ב,חכמה ובינה,חריף ובקי | חכמה ובינה | חזק וברוך," schechina, Hochma, Binah, Daat",False,False,yes
ha-01137,חו״ב,חכמה ובינה,חריף ובקי | חכמה ובינה | חזק וברוך,"coil, חומץ, בישול",False,False,yes
ha-01138,חו״ב,חכמה ובינה,חריף ובקי | חכמה ובינה | חזק וברוך,חובת,False,False,yes
ha-01139,חו״ב,חריף ובקי,חריף ובקי | חכמה ובינה | חזק וברוך,רב的大卫,False,False,yes
ha-01140,חו״ב,חריף ובקי,חריף ובקי | חכמה ובינה | חזק וברוך,Chief Hassidic乙方,False,False,yes
ha-02829,רח״ל,רחמנא ליצלן,רחמנא ליצלן | ראש חוליה,רבי חנינא,False,False,no
ha-02830,רח״ל,רחמנא ליצלן,רחמנא ליצלן | ראש חוליה,ראשי התיבות רח״ל נראות כמו ראשי תיבות של המנשא או המ.OnClickListener,False,False,no
ha-02831,רח״ל,רחמנא ליצלן,רחמנא ליצלן | ראש חוליה,ראשי תיבות רח״ל מייצגים את רחבעם לוי.,False,False,no
ha-00811,דו״צ,ירי דו-צדדי,ירי דו-צדדי | אימון דו-צדדי | סרט דביק דו-צדדי,"דוח,"");
",False,False,no
ha-00812,דו״צ,ירי דו-צדדי,ירי דו-צדדי | אימון דו-צדדי | סרט דביק דו-צדדי,ד rakעת צליחות,False,False,no
ha-00813,דו״צ,ירי דו-צדדי,ירי דו-צדדי | אימון דו-צדדי | סרט דביק דו-צדדי,דומיניון צבאי,False,False,no
ha-00814,דו״צ,סרט דביק דו-צדדי,ירי דו-צדדי | אימון דו-צדדי | סרט דביק דו-צדדי,דепלומנט אביסרי צמיחה,False,False,no
ha-02256,נ״ר,נביאים ראשונים,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,נושאי רישום,False,False,yes
ha-02257,נ״ר,נביאים ראשונים,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,נ״ר סמל לקובץ תולדות ישראל.,False,False,yes
ha-02258,נ״ר,נביאים ראשונים,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,נשיאות רפובליקה,False,False,yes
ha-02259,נ״ר,נחת רוח,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,ניצחון רוחANI,False,False,yes
ha-02260,נ״ר,נחת רוח,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,ניצול רכוש,False,False,yes
ha-02261,נ״ר,נחת רוח,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,נזר קדושה,False,False,yes
ha-02262,נ״ר,נטע רבעי,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,"נ״ר היא סHORTENED VERSION OF ""NEGATIVE REMAINDER"" laws.",False,False,yes
ha-02263,נ״ר,נטע רבעי,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,נמעשנים רבעים,False,False,yes
ha-02264,נ״ר,נטע רבעי,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,נ״ר = מתנות עניים,False,False,yes
ha-02265,נ״ר,נקבה רבים,נר ראשון (של חנוכה) | נטע רבעי | נביאים ראשונים | נחת רוח | נפש רוח | נקבה רבים | ניירות רכישה | נסמך רבים,ננקבה ריבית,False,False,yes
ha-02857,רמב״ם,משנה תורה,משנה תורה | ר' משה בן מימון | המרכז הרפואי מיימונידיס | הקריה הרפואית לבריאות האדם – בית חולים בחיפה,ראשי תיבות של רבי מאיר בריה מILLISECONDSי מופלאי.Maimonides,False,False,no
ha-02858,רמב״ם,משנה תורה,משנה תורה | ר' משה בן מימון | המרכז הרפואי מיימונידיס | הקריה הרפואית לבריאות האדם – בית חולים בחיפה,רמב״ם = רבי מאIRRם ביצלאח ממונעסם (רא篾漠漠漠漠漠陌),False,False,no
ha-02859,רמב״ם,משנה תורה,משנה תורה | ר' משה בן מימון | המרכז הרפואי מיימונידיס | הקריה הרפואית לבריאות האדם – בית חולים בחיפה,רמב״ם הוא סגיל שם של רבי מימון בנים מוסHEם.,False,False,no
ha-01928,מצ״ד,להק הציוד,מספן הציוד | להק הציוד | מחנה הציונות הדתית,"מצ״ד הוא ראשי תיבות של "",egויה טכנית""",False,False,yes
ha-01929,מצ״ד,להק הציוד,מספן הציוד | להק הציוד | מחנה הציונות הדתית,"מצ""*ד"" פירושו מערך חירום",False,False,yes
ha-01930,מצ״ד,להק הציוד,מספן הציוד | להק הציוד | מחנה הציונות הדתית,מצ״ד הוא ראשי תיבות למיקוד צדד.,False,False,yes
ha-01931,מצ״ד,מחנה הציונות הדתית,מספן הציוד | להק הציוד | מחנה הציונות הדתית,"מצ""*ד"" משתייך ל والله, המתייחס למצב או נקודה מסוימת.",False,False,yes
ha-01932,מצ״ד,מחנה הציונות הדתית,מספן הציוד | להק הציוד | מחנה הציונות הדתית,מצ״ד מייצג מיני צדדים.,False,False,yes
ha-01933,מצ״ד,מחנה הציונות הדתית,מספן הציוד | להק הציוד | מחנה הציונות הדתית,"מצ""*ד"" מייצג מגזר דתי.",False,False,yes
ha-01934,מצ״ד,מספן הציוד,מספן הציוד | להק הציוד | מחנה הציונות הדתית,"מצ""*ד"" מייצגת מפקדי צוות שדה",False,False,yes
ha-01935,מצ״ד,מספן הציוד,מספן הציוד | להק הציוד | מחנה הציונות הדתית,מצ″ד היא סמכת מנהל סמך דепלומاسي,False,False,yes
ha-01936,מצ״ד,מספן הציוד,מספן הציוד | להק הציוד | מחנה הציונות הדתית,מצ״ד = ראש מ⚡ור ❄ sicILD,False,False,yes
ha-00284,א״ז,אדרא זוטא,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אדרא זמינא,False,False,yes
ha-00285,א״ז,אור זרוע,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אחד זמנים,False,False,yes
ha-00286,א״ז,אדרא זוטא,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,א״ז = קדישא,False,False,yes
ha-00287,א״ז,אור זרוע,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אחת וZFEST.getDoubleQuote() זמANA,False,False,yes
ha-00288,א״ז,אור זרוע,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אילו זמנים,False,False,yes
ha-00289,א״ז,אור זרוע,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,ברית העצמאות,False,False,yes
ha-00290,א״ז,אי־זוגי,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,א不理解您提供的数学序列和文本内容之间的关联。根据上下文，“זוגיים”（偶数）和“א״ז”（奇数）之间的对比表明，“א״ז”指的是“奇数”。因此，“א״ז”的含义是“奇数”。,False,False,yes
ha-00291,א״ז,אי־זוגי,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אחד-ZERO,False,False,yes
ha-00292,א״ז,אי־זוגי,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אחד או זוגי,False,False,yes
ha-00293,א״ז,אין זה,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,איפה זמינה,False,False,yes
ha-00294,א״ז,אין זה,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אילו זמנים,False,False,yes
ha-00295,א״ז,אין זה,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אזי,False,False,yes
ha-00296,א״ז,את זה,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אלה נמוכו Classe Zeppelin,False,False,yes
ha-00297,א״ז,את זה,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אחת אלחוטים,False,False,yes
ha-00298,א״ז,את זה,את זה | אין זה | אי־זוגי | אור זרוע | אדרא זוטא | אדוני זקני,אינטימית זמינות,False,False,yes
ha-02820,רדב״ז,רבי דוד בן זכאי,רבי דוד בן זכאי | רבי דוד בן זמרא (1479–1573),רדב״ז היא צפיה רדבז.,False,False,no
ha-00761,גמו״ש,גמול השתלמות,גמול השתלמות | גמור ושלם,גmodo של שעות שכר מוסף,False,False,no
ha-00762,גמו״ש,גמול השתלמות,גמול השתלמות | גמור ושלם,גמו״ש = Gratification Monetaria Shlicha Shiurim,False,False,no
ha-00763,גמו״ש,גמול השתלמות,גמול השתלמות | גמור ושלם,"גמו״ש הוא ראשי תיבות של 「 GuantanamoBay 」, אך במילים בעברית כותבות כך: ג'ונטנומה בAY.",False,False,no
ha-00925,ד״ק,דגש קל,דגש קל | דמי קדימה,ד״ק מייצגת האות דאLETE קפות כפיפת אספיקרת.,False,False,yes
ha-00926,ד״ק,דגש קל,דגש קל | דמי קדימה,"ד""*כ"" = דקדוק",False,False,yes
ha-00927,ד״ק,דגש קל,דגש קל | דמי קדימה,"ד״ק הוא ראשי תיבות ל""דקה""",False,False,yes
ha-00928,ד״ק,דמי קדימה,דגש קל | דמי קדימה,ד kirya קiot קנייה,False,False,yes
ha-00929,ד״ק,דמי קדימה,דגש קל | דמי קדימה,ד״ק מייצרת את המספר 32,False,False,yes
ha-00930,ד״ק,דמי קדימה,דגש קל | דמי קדימה,"ד kirya ק.GetKeyDown
",False,False,yes
ha-01602,מא״ש,המרכז לאימונים באש,מאה שערים | מרדכי איש-שלום | המרכז לאימונים באש | מאיר איש-שלום,מערך אימונים שדה,False,False,yes
ha-01603,מא״ש,המרכז לאימונים באש,מאה שערים | מרדכי איש-שלום | המרכז לאימונים באש | מאיר איש-שלום,מפקדת אימון שטח,False,False,yes
ha-01604,מא״ש,מאה שערים,מאה שערים | מרדכי איש-שלום | המרכז לאימונים באש | מאיר איש-שלום,משהו שמעריך מקורות ומסורת יהודית אשכנזית.,False,False,yes
ha-01605,מא״ש,מאה שערים,מאה שערים | מרדכי איש-שלום | המרכז לאימונים באש | מאיר איש-שלום,רחוב משמרות安全性,False,False,yes
ha-01606,מא״ש,מאה שערים,מאה שערים | מרדכי איש-שלום | המרכז לאימונים באש | מאיר איש-שלום,מאש = מ Cabrera אסף שמחה,False,False,yes
ha-00496,בכ״מ,בכל מקום,בכל מקום | בכל מקרה | בכמה מקומות,בכ״מ - בקיצור מונחים,False,False,yes
ha-00497,בכ״מ,בכל מקום,בכל מקום | בכל מקרה | בכמה מקומות,בכ״מ - במחצית המזרח,False,False,yes
ha-00498,בכ״מ,בכל מקום,בכל מקום | בכל מקרה | בכמה מקומות,בכ״מ - בכוונות מוחלטות,False,False,yes
ha-00499,בכ״מ,בכל מקרה,בכל מקום | בכל מקרה | בכמה מקומות,FTER_ethiopic,False,False,yes
ha-00500,בכ״מ,בכל מקרה,בכל מקום | בכל מקרה | בכמה מקומות,"בכ״מ - בCEPT המונח, ולא ישפיע על השלטון האוטונומי.",False,False,yes
ha-00501,בכ״מ,בכל מקרה,בכל מקום | בכל מקרה | בכמה מקומות,בכ״מ פירושו בכיסוי במילה אחת.,False,False,yes
ha-00502,בכ״מ,בכמה מקומות,בכל מקום | בכל מקרה | בכמה מקומות,"בכ״מ הוא בראשי תיבות של המילה_ARAMEAN_ ש ula מתרגם ל""אrami"".",False,False,yes
ha-00503,בכ״מ,בכמה מקומות,בכל מקום | בכל מקרה | בכמה מקומות,בכ״מ - בפירוש ב tà מ.,False,False,yes
ha-00504,בכ״מ,בכמה מקומות,בכל מקום | בכל מקרה | בכמה מקומות,בכ״מ = בעיירהcoopmahozim,False,False,yes
ha-02894,רע״א,רבי עקיבא אייגר,רבי עקיבא אייגר | רשות ערעור אזרחי,רבעי אדרי,False,False,no
