acronym,expansion,hits,sources,rank,n_candidates,mined_items,mined_natural
ג״ג,גבולות גזרה,21,wiktionary,2,2,3,0
ג״ע,גן עדן,2585,wiktionary,1,4,3,0
ג״ע,גילוי עריות,536,wiktionary,2,4,3,0
ג״ע,גימנסיה עברית,28,wiktionary,3,4,3,0
ג״ע,גאון עולם,7,wiktionary,4,4,2,0
ג״צ,גר צדק,43,wiktionary,1,2,3,0
ג״צ,גאון צדק,2,wiktionary,2,2,0,0
ג״ש,גבעת שאול,381,wiktionary,1,4,3,0
ג״ש,גזרה שווה,29,wiktionary,2,4,3,0
ג״ש,ג' שנים,14,wiktionary,3,4,0,0
ג״ש,ג' שעות,6,wiktionary,4,4,0,0
דב״א,דן בן אמוץ,227,wiktionary,1,2,3,0
דב״א,דבר אמת,29,wiktionary,2,2,2,0
דב״ז,דברים זוטא,4,wiktionary,1,2,1,0
דב״ז,דברים זוטי,1,wiktionary,2,2,1,0
דה״כ,דברי הכתוב,8,wiktionary,1,2,1,0
דה״כ,דברי הכל,7,wiktionary,2,2,1,0
דה״מ,דוד המלך,1075,wiktionary,1,2,3,0
דה״מ,דבור המתחיל,1,wiktionary,2,2,0,0
דו״ד,דין ודברים,287,wiktionary,1,3,3,0
דו״ד,דת ודין,23,wiktionary,2,3,1,0
דו״ד,דורון דרשה,2,wiktionary,3,3,0,0
דו״צ,ירי דו-צדדי,93,wikipedia,1,3,3,0
דו״צ,אימון דו-צדדי,3,wikipedia,2,3,0,0
דו״צ,סרט דביק דו-צדדי,3,wikipedia,3,3,1,0
דו״ש,דו שנתי,265,wiktionary,1,4,1,0
דו״ש,דוד שמש,64,wiktionary,2,4,3,0
דו״ש,דו-שבעון,0,wiktionary,3,4,0,0
דו״ש,דורש שלומו,0,wiktionary,4,4,0,0
דחב״ש,דור חורבן בית שני,0,wiktionary,1,2,0,0
דחב״ש,דור חכמי בית שני,0,wiktionary,2,2,0,0
דל״ש,דל שומן,40,wiktionary,1,2,3,0
דל״ש,דלא שייך/שנא/שמיה,0,wiktionary,2,2,0,0
דמ״צ,דרישות מבצעיות,7,wiktionary,1,2,3,0
דמ״צ,דירקטור מקרב הציבור,1,wiktionary,2,2,1,0
דמ״ש,דמי שכירות,171,wiktionary,1,5,3,0
דמ״ש,דין משמעתי,90,wiktionary,2,5,3,0
דמ״ש,דרך משל,36,wiktionary,3,5,3,0
דמ״ש,דמי משלוח,19,wiktionary,4,5,3,0
דמ״ש,דע מה שתשיב,14,wiktionary,5,5,2,0
דנ״א,דיון נוסף אזרחי,1,wiktionary,1,2,0,0
דנ״א,DNA. תעתוק עברי של חומצה דאוקסיריבונוקלאית,0,wiktionary,2,2,0,0
דס״ל,דלק סילוני,72,wiktionary,1,2,3,0
דס״ל,דסבירא ליה (שסבור הוא),0,wiktionary,2,2,0,0
דפ״א,דיודה פולטת אור,34,wiktionary,1,2,3,0
דפ״א,דרך פעולה אפשרית,6,wiktionary,2,2,2,0
דפ״ר,דפוס ראשון,135,wiktionary,1,2,3,0
דפ״ר,דירוג פסיכוטכני ראשוני,7,wiktionary,2,2,1,0
דר״א,דרבי אליעזר,198,wiktionary,1,2,3,0
דר״א,דרך אגב,56,wiktionary,2,2,3,0
ד״א,חזיר,2449,wiktionary,1,13,3,0
ד״א,עבודה זרה,1166,wiktionary,2,13,3,0
ד״א,דבר אחר,828,wikipedia,3,13,3,0
ד״א,דרך ארץ,583,wikipedia+wiktionary,4,13,3,0
ד״א,יחסי אישות,209,wiktionary,5,13,3,0
ד״א,ד' אלפים,109,wikipedia,6,13,0,0
ד״א,עניין אחר,97,wiktionary,7,13,3,0
ד״א,דרך אגב,56,wiktionary,8,13,3,0
ד״א,ד' אמות,48,wikipedia+wiktionary,9,13,0,0
ד״א,דיני אדם,3,wikipedia+wiktionary,10,13,0,0
ד״א,דבר אחר.במשמעות,0,wiktionary,11,13,0,0
ד״א,דרך אכילה/אכילתו,0,wiktionary,12,13,0,0
ד״א,דרכא אחרינא (דרך אחרת),0,wiktionary,13,13,0,0
ד״ה,דברי הימים,1644,wiktionary,1,3,3,0
ד״ה,דיבור המתחיל,200,wiktionary,2,3,3,0
ד״ה,דברי הכל,7,wiktionary,3,3,1,0
ד״ח,דגש חזק,184,wiktionary,1,3,3,0
ד״ח,דרגת חופש,49,wiktionary,2,3,3,0
ד״ח,דפוס חדש,15,wiktionary,3,3,3,0
ד״ט,דף ט,25,wiktionary,1,2,0,0
ד״ט,ד טפחים,0,wiktionary,2,2,0,0
ד״ל,ודי לחכימא,3,wiktionary,1,2,2,0
ד״ל,ודי למבין,1,wiktionary,2,2,0,0
ד״מ,דיני ממונות,232,wiktionary,1,3,2,0
ד״מ,דרך משל,36,wiktionary,2,3,3,0
ד״מ,דצימטר,10,wiktionary,3,3,3,0
ד״נ,דיון נוסף,189,wiktionary,1,3,3,0
ד״נ,דיני נפשות,72,wiktionary,2,3,3,0
ד״נ,דואר נע,10,wiktionary,3,3,3,0
ד״ע,דברי עצמו,17,wiktionary,1,2,3,0
ד״ע,דבר עבירה,10,wiktionary,2,2,3,0
ד״צ,דין צדק,115,wiktionary,1,3,1,0
ד״צ,דפוס צילום,60,wiktionary,2,3,1,0
ד״צ,דואר צבאי,17,wiktionary,3,3,3,0
ד״ק,דגש קל,75,wiktionary,1,2,3,0
ד״ק,דמי קדימה,19,wiktionary,2,2,3,0
ד״ר,דוקטור,19000,wiktionary,1,4,6,3
ד״ר,דברי רבי־,258,wiktionary,2,4,1,1
ד״ר,דפוס ראשון,135,wiktionary,3,4,3,0
ד״ר,דברים רבה,54,wiktionary,4,4,3,0
ד״ש,דו-שנתי,265,wiktionary,1,5,3,0
ד״ש,דרישת שלום,219,wiktionary,2,5,3,0
ד״ש,דוד שמש,64,wiktionary,3,5,3,0
ד״ש,דיני שמים,3,wiktionary,4,5,2,0
ד״ש,דו-שבעון,0,wiktionary,5,5,0,0
ד״ת,דברי תורה,530,wiktionary,1,3,3,0
ד״ת,דין תורה,163,wiktionary,2,3,3,0
ד״ת,דעת תורה,108,wiktionary,3,3,3,0
האר״י,רבי יצחק לוריא,31,wiktionary,1,3,1,1
האר״י,האשכנזי רבי יצחק,3,wiktionary,2,3,1,0
האר״י,האדון רבי יצחק,1,wiktionary,3,3,0,0
הגה״צ,הגאון הצדיק,51,wiktionary,1,2,0,0
הגה״צ,הגנת הצומח,42,wiktionary,2,2,3,0
הועה״מ,הועד המרכזי,7,wiktionary,1,4,0,0
הועה״מ,הועדה המרכזת,2,wiktionary,2,4,0,0
הועה״מ,הועדה המתמדת,1,wiktionary,3,4,0,0
הועה״מ,הועדה המסדרת,0,wiktionary,4,4,0,0
הו״ל,הוציא לאור,2702,wiktionary,1,3,3,0
הו״ל,הובא לדפוס,50,wiktionary,2,3,3,0
הו״ל,הֲוָה לֵיהּ,0,wiktionary,3,3,0,0
החי״ל,הבריגדה היהודית,494,wikipedia,1,2,3,0
החי״ל,החבל הימי לישראל,78,wikipedia,2,2,3,0
הי״ו,היקר והחשוב,3,wiktionary,1,2,3,0
הי״ו,השם יחייהו ויחזקהו,0,wiktionary,2,2,0,0
הי״מ,"הוד, יסוד, מלכות",4,wiktionary,1,4,2,0
הי״מ,ה' יצילנו משגיאות,0,wiktionary,2,4,0,0
הי״מ,"היכי מצי (=איפה מצינו, איך אפשר)",0,wiktionary,3,4,0,0
הי״מ,היש מפרשים,0,wiktionary,4,4,0,0
הי״ת,השם יתברך,69,wiktionary,1,2,2,0
הי״ת,"המשביר, יכין, תנובה",0,wiktionary,2,2,0,0
הנ״ל,הנזכר לעיל,81,wiktionary,1,3,3,0
הנ״ל,הנראה למעלה,7,wiktionary,2,3,3,0
הנ״ל,הנזכר למטה,1,wiktionary,3,3,0,0
הנ״ץ,הנוער הציוני,412,wikipedia,1,2,3,0
הנ״ץ,נפתלי הירץ יהודה נימנוביץ',2,wikipedia,2,2,0,0
הצ״ח,הצעת חוק,2723,wiktionary,1,3,3,0
הצ״ח,הסתדרות ציונית חדשה,86,wiktionary,2,3,0,0
הצ״ח,הצבת חירום,8,wiktionary,3,3,3,0
הרא״ה,הרב אברהם יצחק הכהן קוק,554,wikipedia,1,2,3,0
הרא״ה,רבי אהרן הלוי,8,wiktionary,2,2,0,0
הרה״ג,הרב הגאון,189,wiktionary,1,2,2,0
הרה״ג,הרבנים הגאונים,9,wiktionary,2,2,1,0
הרה״ר,הרב הראשי,2264,wiktionary,1,2,3,0
הרה״ר,הרבנות הראשית,1207,wiktionary,2,2,3,0
השב״ס,שירות בתי הסוהר,594,wikipedia,1,2,4,1
השב״ס,השאלה בין-ספרייתית,19,wikipedia,2,2,3,0
ה״ג,הלכה ג',380,wiktionary,1,5,0,0
ה״ג,הסגת גבול,247,wiktionary,2,5,3,0
ה״ג,הלכות גדולות,110,wiktionary,3,5,3,0
ה״ג,ה' גבורות,0,wiktionary,4,5,0,0
ה״ג,כך אנו גורסים,0,wiktionary,5,5,0,0
ה״ה,הלכה ה',334,wiktionary,1,9,0,0
ה״ה,הוא הדין,104,wiktionary,2,9,3,0
ה״ה,השם הטוב,37,wiktionary,3,9,3,0
ה״ה,האדון הנכבד,5,wiktionary,4,9,1,0
ה״ה,האדונים הנכבדים,3,wiktionary,5,9,1,0
ה״ה,הגברת הנכבדה,3,wiktionary,6,9,2,0
ה״ה,הרב החשוב,3,wiktionary,7,9,2,0
ה״ה,הרבני הנגיד,1,wiktionary,8,9,0,0
ה״ה,הכי השתא,0,wiktionary,9,9,0,0
ה״ט,הלכה ט',185,wiktionary,1,2,0,0
ה״ט,האי טעמא - זה הטעם,0,wiktionary,2,2,0,0
ה״כ,הכנסת כלה,51,wiktionary,1,2,3,0
ה״כ,הלכה כ',25,wiktionary,2,2,0,0
ה״מ,הפסקת מסחר,3,wiktionary,1,5,0,0
ה״מ,הוה מצי (=היה יכול),0,wiktionary,2,5,0,0
ה״מ,"היכי מצי (=איפה מצינו, איך אפשר)",0,wiktionary,3,5,0,0
ה״מ,הני מילי (=מילים אילו),0,wiktionary,4,5,0,0
ה״מ,הערת מתרגם,0,wiktionary,5,5,0,0
ה״נ,הוה נמי (=היה גם),0,wiktionary,1,2,0,0
ה״נ,הכא/הכי נמי (=כאן/כך גם),0,wiktionary,2,2,0,0
ה״פ,הארי פוטר,999,wiktionary,1,3,3,0
ה״פ,המרצת פתיחה,10,wiktionary,2,3,3,0
ה״פ,הודעה פרטית,7,wiktionary,3,3,2,0
ה״ש,הערת שוליים,371,wiktionary,1,2,3,0
ה״ש,הוראת שינוי,1,wiktionary,2,2,0,0
ודו״ק,ודייק ותמצא קל,1,wiktionary,1,5,0,0
ודו״ק,דרוש וחקור קרוב,0,wiktionary,2,5,0,0
ודו״ק,ודוחק קצת,0,wiktionary,3,5,0,0
ודו״ק,ודקדק ומצא קושטא,0,wiktionary,4,5,0,0
ודו״ק,ועיין דברי ותמצאם קלים,0,wiktionary,5,5,0,0
וד״ל,ועדה לדיור לאומי,2,wiktionary,1,3,1,0
וד״ל,ודי למבין,1,wiktionary,2,3,0,0
וד״ל,ודי לחַכִּימָא (בִּרְמִיזָא): עברית 'ודי לחכם (ברמז)',0,wiktionary,3,3,0,0
ונ״ל,ונקל להבין,0,wiktionary,1,2,0,0
ונ״ל,ונראה לומר,0,wiktionary,2,2,0,0
זא״ז,זה את זה,1992,wiktionary,1,2,3,0
זא״ז,זה אצל זה,12,wiktionary,2,2,3,0
זה״ב,זהירות בדרכים,63,wikipedia,1,2,3,0
זה״ב,הימים בהם קוראים בתורה: ז' (שבת),1,wikipedia,2,2,0,0
זק״ש,זרע קדושים,4,wiktionary,1,4,0,0
זק״ש,זרע קדושים שנשרפו,2,wiktionary,2,4,0,0
זק״ש,זרע קודש שמו,1,wiktionary,3,4,0,0
זק״ש,זרע קדושי שפיירא,0,wiktionary,4,4,0,0
ז״א,זאת אומרת,460,wiktionary,1,3,3,0
ז״א,זכות אבות,78,wiktionary,2,3,3,0
ז״א,זעיר אנפין,15,wiktionary,3,3,3,0
ז״ח,זרם חילופין,140,wiktionary,1,2,3,0
ז״ח,זיהוי חללים,18,wiktionary,2,2,3,0
ז״י,זכויות יוצרים,1147,wiktionary,1,2,3,0
ז״י,זרם ישר,116,wiktionary,2,2,3,0
ז״ל,זרע לבטלה,90,wiktionary,1,7,5,2
ז״ל,זכור לטוב,52,wiktionary,2,7,3,0
ז״ל,זכר לחורבן,20,wiktionary,3,7,3,0
ז״ל,זכרנו לחיים,18,wiktionary,4,7,3,0
ז״ל,זה לשונו,5,wiktionary,5,7,1,0
ז״ל,זכר לדבר,5,wiktionary,6,7,1,0
ז״ל,זכרו לברכה; זכרונו לברכה,0,wiktionary,7,7,0,0
ז״פ,זמן פירעון,2,wiktionary,1,2,1,0
ז״פ,זהוי פלילי,0,wiktionary,2,2,0,0
ז״ק,זמן קצר,25271,wiktionary,1,6,3,0
ז״ק,זנב קשיח,5,wiktionary,2,6,2,0
ז״ק,זקף קטן,4,wiktionary,3,6,3,0
ז״ק,זרע קדושים (שם משפחה),0,wiktionary,4,6,0,0
ז״ק,זרע קודש (שם משפחה),0,wiktionary,5,6,0,0
ז״ק,זרע קיים,0,wiktionary,6,6,0,0
חג״ם,חיילות גיוס מיוחד,3,wiktionary,1,2,0,0
חג״ם,חיל הגנה מרחבית,1,wiktionary,2,2,0,0
חדו״א,חידושי אגדות,60,wiktionary,1,2,0,0
חדו״א,חשבון דיפרנציאלי ואינטגרלי,22,wiktionary,2,2,3,0
חה״י,חיל הים הישראלי,756,wiktionary,1,2,3,0
חה״י,חמדת הימים,7,wiktionary,2,2,2,0
חה״ס,חג הסוכות,356,wiktionary,1,3,3,0
חה״ס,חול המועד סוכות,108,wiktionary,2,3,3,0
חה״ס,חיל הספקה,6,wiktionary,3,3,2,0
חה״פ,חג הפסח,673,wiktionary,1,2,3,0
חה״פ,חול המועד פסח,111,wiktionary,2,2,3,0
חוה״מ,חול המועד,367,wiktionary,1,2,3,0
חוה״מ,חוק המקרקעין,83,wiktionary,2,2,3,0
חו״ב,חריף ובקי,24,wiktionary,1,3,2,0
חו״ב,חכמה ובינה,20,wiktionary,2,3,3,0
חו״ב,חזק וברוך,4,wiktionary,3,3,3,0
חו״ג,חומרי גלם,1131,wiktionary,1,2,2,0
חו״ג,חסד וגבורה,3,wiktionary,2,2,0,0
חו״ז,חובה וזכות,43,wiktionary,1,2,3,0
חו״ז,חייבים וזכאים,1,wiktionary,2,2,0,0
חו״ח,חס וחלילה,187,wiktionary,1,2,3,0
חו״ח,חלילה וחס,7,wiktionary,2,2,2,0
חו״מ,חושן משפט,573,wiktionary,1,4,3,0
חו״מ,חומה ומגדל,277,wiktionary,2,4,3,0
חו״מ,חוץ מזה,181,wiktionary,3,4,3,0
חו״מ,חומרים מרוכבים,108,wiktionary,4,4,3,0
חו״פ,חילוץ ופינוי,18,wiktionary,1,2,3,0
חו״פ,חוליה פיקודית,1,wiktionary,2,2,0,0
חו״ר,חכמי ורבני,27,wiktionary,1,3,3,0
חו״ר,חסד ורחמים,26,wiktionary,2,3,3,0
חו״ר,חנון ורחום,25,wiktionary,3,3,1,0
חו״ש,חס ושלום,100,wiktionary,1,2,3,0
חו״ש,חדש ושבת,1,wiktionary,2,2,0,0
חזל״ש,חזרה לשירות,97,wiktionary,1,2,3,0
חזל״ש,חזרה לשגרה,39,wiktionary,2,2,3,0
חט״ם,חטיבת המחקר,215,wiktionary,1,2,3,0
חט״ם,"חבל, טריג, מקבילים",0,wiktionary,2,2,0,0
חי״ל,חזית יהודית לאומית,41,wiktionary,1,3,3,0
חי״ל,(הבריגדה היהודית) אשר לחמה באירופה במלחמת העולם השניה,0,wiktionary,2,3,0,0
חי״ל,האגודה לפיתוח הימאות העברית ולהחדרת תודעתה בארץ ובעולם,0,wiktionary,3,3,0,0
חי״ש,חיל שריון,97,wiktionary,1,2,3,0
חי״ש,חיל שדה,20,wiktionary,2,2,0,0
חמ״ל,חדר מלחמה,53,wiktionary,1,2,3,0
חמ״ל,חדר ניהול אירוע ומעקב אחר תרחיש,0,wiktionary,2,2,0,0
חמ״ס,חומר מסווג,24,wiktionary,1,2,3,0
חמ״ס,"חומשים, מחזורים, סידורים",0,wiktionary,2,2,0,0
חנ״ה,חברת הנפט הלאומית,96,wikipedia,1,2,3,0
חנ״ה,חומר נפץ הודף,40,wikipedia,2,2,3,0
חפ״ק,חבורת פיקוד קדמית,3,wiktionary,1,2,0,0
חפ״ק,חונה פה קהילת,1,wiktionary,2,2,1,0
חפ״ש,חייל פשוט,51,wiktionary,1,2,3,0
חפ״ש,חומרים פעילי-שטח,30,wiktionary,2,2,0,0
חקש״ב,חוקר שבויים,13,wiktionary,1,2,3,0
חקש״ב,חוקרת שבויים,0,wiktionary,2,2,0,0
חק״ש,חוקר שבויים,13,wiktionary,1,2,3,0
חק״ש,חיל קשישים,3,wiktionary,2,2,0,0
חרד״ק,חרדי קל דעת,2,wiktionary,1,3,0,0
חרד״ק,חתן (או חכם) רבי דוד קמחי,0,wiktionary,2,3,0,0
חרד״ק,חתן ר' דוד קלונימוס (קלמן),0,wiktionary,3,3,0,0
חרל״פ,חייא ראש לגולי פורטוגל,1,wiktionary,1,4,0,0
חרל״פ,חייא ראש לבני פולין,0,wiktionary,2,4,0,0
חרל״פ,חייא ראש לגליל פורטוגל,0,wiktionary,3,4,0,0
חרל״פ,"חכמים, רבנים, למדנים, פרשנים",0,wiktionary,4,4,0,0
חר״ג,חרם (ד)רבינו גרשום,0,wiktionary,1,2,0,0
חר״ג,חתן רבי גבריאל,0,wiktionary,2,2,0,0
ח״ד,חוות דעת,1389,wiktionary,1,4,3,0
ח״ד,חלק ד,352,wiktionary,2,4,3,0
ח״ד,חיקור דין,8,wiktionary,3,4,3,0
ח״ד,חתיכא דאיסורא,2,wiktionary,4,4,0,0
ח״ו,חס וחלילה,187,wiktionary,1,7,2,0
ח״ו,חלק ו',170,wiktionary,2,7,0,0
ח״ו,חס ושלום,100,wiktionary,3,7,3,0
ח״ו,חבר ועדה,53,wiktionary,4,7,3,0
ח״ו,חינוך ומשפחה,9,wiktionary,5,7,0,0
ח״ו,חלילה וחס,7,wiktionary,6,7,2,0
ח״ו,חוסם ורידים,0,wiktionary,7,7,0,0
ח״ח,חלקי חילוף,345,wiktionary,1,11,3,0
ח״ח,חברת חשמל,124,wiktionary,2,11,3,0
ח״ח,חרדה חברתית,103,wikipedia+wiktionary,3,11,3,0
ח״ח,חיזוק חיובי,39,wiktionary,4,11,3,0
ח״ח,חופת חתנים,8,wiktionary,5,11,0,0
ח״ח,חלק חוזר,5,wiktionary,6,11,3,0
ח״ח,חפץ חיים (ספר),4,wikipedia,7,11,0,0
ח״ח,חפץ חיים (קיבוץ),4,wikipedia,8,11,0,0
ח״ח,חשש חמץ,4,wiktionary,9,11,3,0
ח״ח,חלל חרב,1,wiktionary,10,11,0,0
ח״ח,"חפץ חיים: ספר, מחברו, או קיבוץ",0,wiktionary,11,11,0,0
ח״י,חוק יסוד,677,wiktionary,1,7,3,0
ח״י,חיל ים,131,wiktionary,2,7,3,0
ח״י,חות יאיר (ספר),1,wiktionary,3,7,0,0
ח״י,חיה יחידה,1,wiktionary,4,7,0,0
ח״י,חק יעקב (ספר),0,wiktionary,5,7,0,0
ח״י,חרם יהושע (יהדות),0,wiktionary,6,7,0,0
ח״י,שמונה עשרה בגימטריה,0,wiktionary,7,7,0,0
ח״כ,חבר כנסת,556,wiktionary,1,2,4,1
ח״כ,חזקת כשרות,14,wiktionary,2,2,3,0
ח״ל,חייב לעבור,126,wiktionary,1,2,3,0
ח״ל,"חוץ לארץ, חוצה לארץ",0,wiktionary,2,2,0,0
ח״מ,חבר מרכז,229,wiktionary,1,2,1,0
ח״מ,חתום מטה,0,wiktionary,2,2,0,0
ח״ן,חיים נחמן (ביאליק),1090,wiktionary,1,4,0,0
ח״ן,חיל נשים,40,wikipedia+wiktionary,2,4,1,0
ח״ן,חכמת הנסתר,11,wiktionary,3,4,3,0
ח״ן,חשבון נייר (ח-ן),0,wiktionary,4,4,0,0
ח״פ,חד פעמי,1576,wiktionary,1,2,3,0
ח״פ,חונה פה,5,wiktionary,2,2,1,0
ח״צ,חברה ציבורית,1041,wiktionary,1,2,3,0
ח״צ,חכם צבי (ספר),0,wiktionary,2,2,0,0
ח״ק,חברה קדישא,978,wiktionary,1,3,3,0
ח״ק,חצי קדיש,27,wiktionary,2,3,3,0
ח״ק,חסר קליע,3,wiktionary,3,3,3,0
ח״ש,חיי שרה,206,wiktionary,1,4,0,0
ח״ש,חילול שבת,165,wiktionary,2,4,3,0
ח״ש,חודר שריון,91,wiktionary,3,4,3,0
ח״ש,חיי שעה,13,wiktionary,4,4,3,0
טל״מ,טוב לא משנה,3,wiktionary,1,3,1,0
טל״מ,טיפוח לימודי מזרחנות,1,wiktionary,2,3,0,0
טל״מ,טכנולוגיות למידה מתוקשבות,0,wiktionary,3,3,0,0
טמ״א,טומאת אוכלין,20,wiktionary,1,2,3,0
טמ״א,טומוגרפיה ממוחשבת אנגיוגרפית,0,wiktionary,2,2,0,0
טמ״מ,טוב מותי מחיי,2,wiktionary,1,4,1,0
טמ״מ,טכנאי מערכות מחשוב,1,wiktionary,2,4,0,0
טמ״מ,טכנאי מזרונים מתנפחים,0,wiktionary,3,4,0,0
טמ״מ,טכנאי מערכות תקשורת נתונים מתקדמות,0,wiktionary,4,4,0,0
טר״א,טורי אבן,15,wiktionary,1,2,1,0
טר״א,טיפול רפואי אישי,0,wiktionary,2,2,0,0
ט״א,טביעת אצבע,170,wiktionary,1,3,3,0
ט״א,טווח-ארוך,122,wiktionary,2,3,0,0
ט״א,תעופה טיס אוטומטי,0,wiktionary,3,3,0,0
ט״ז,המספר שש עשרה בגימטריה,0,wiktionary,1,2,0,0
ט״ז,חיבורו של רבי דוד הלוי סגל על השולחן ערוך,0,wiktionary,2,2,0,0
ט״כ,טבילת כלים,20,wiktionary,1,2,3,0
ט״כ,טעם כעיקר,10,wiktionary,2,2,0,0
ט״מ,טוב מאוד,371,wiktionary,1,4,3,0
ט״מ,טומוגרפיה ממוחשבת,172,wiktionary,2,4,3,0
ט״מ,טמא/טומאת מת,1,wiktionary,3,4,0,0
ט״מ,ט' מידות,0,wiktionary,4,4,0,0
ט״נ,טומאת נבלה,21,wiktionary,1,2,3,0
ט״נ,טרום ניתוח,4,wiktionary,2,2,2,0
יא״פ,יד אפרים,18,wiktionary,1,2,2,0
יא״פ,יחידת אשפוז פנימי,0,wiktionary,2,2,0,0
יהב״י,יקותיאל הכהן,10,wikipedia,1,2,2,0
יהב״י,יהודה ייטלס,7,wikipedia,2,2,1,0
יה״ש,יחידת השתתפות,139,wikipedia,1,2,1,0
יה״ש,יהושע השל שור,20,wikipedia,2,2,2,0
יומה״כ,יום הכיפורים,5870,wiktionary,1,2,3,0
יומה״כ,יוצא מן הכלל,989,wiktionary,2,2,3,0
יוע״מ,יועץ משפטי,242,wikipedia+wiktionary,1,2,3,0
יוע״מ,יועץ מס,38,wiktionary,2,2,3,0
יו״ד,יורה דעה,990,wikipedia,1,3,3,0
יו״ד,יוד,421,wikipedia,2,3,3,0
יו״ד,"יורה דעה, אחד מחלקי השלחן ערוך",0,wiktionary,3,3,0,0
יחב״ל,יחסים בינלאומיים,321,wikipedia,1,3,3,0
יחב״ל,יחידות בינלאומיות,4,wikipedia,2,3,3,0
יחב״ל,היחידה לחקירות בינלאומיות,1,wikipedia,3,3,0,0
יח״ל,יחידות לימוד,160,wiktionary,1,3,3,0
יח״ל,ישיבת חכמי לובלין,151,wikipedia+wiktionary,2,3,2,0
יח״ל,יחידת לבגרות,1,wikipedia,3,3,0,0
יח״מ,יחידת מידה,360,wiktionary,1,2,3,0
יח״מ,יחידת מדים,0,wiktionary,2,2,0,0
יט״א,יחידת טיפול אוויר,0,wiktionary,1,2,0,0
יט״א,יחידת טיפול אקלים,0,wiktionary,2,2,0,0
יי״ש,יין שרף,24,wiktionary,1,2,3,0
יי״ש,יין יבש,5,wiktionary,2,2,3,0
יל״ש,ילקוט שמעוני,251,wiktionary,1,2,3,0
יל״ש,יש לשאול,42,wiktionary,2,2,3,0
ימ״ח,ימי מחבוש,25,wiktionary,1,2,3,0
ימ״ח,יחידת מחסני חירום,8,wiktionary,2,2,3,0
יס״ב,יד סולדת בו,2,wiktionary,1,2,0,0
יס״ב,יחידת סיור הבנקים,0,wiktionary,2,2,0,0
יעב״ץ,מבעלי התוספות,196,wiktionary,1,3,3,0
יעב״ץ,מחכמי מרוקו במאה ה-18,1,wiktionary,2,3,0,0
יעב״ץ,"(1698 - 1776), מגדולי הרבנים במאה ה-18",0,wiktionary,3,3,0,0
יע״א,יחוננך עליון אמן,0,wiktionary,1,2,0,0
יע״א,"יכתב על עיר: 1.יגן עליה (עליך, עלינו, וכו') אלהים",0,wiktionary,2,2,0,0
יע״מ,מעבד,2869,wiktionary,1,2,3,0
יע״מ,יחידת עיבוד מרכזית (CPU),1,wiktionary,2,2,0,0
יק״ר,יחידה לקנאביס רפואי,1,wiktionary,1,2,0,0
יק״ר,יחידות קישור רפואית,0,wiktionary,2,2,0,0
יר״א,ירא אלוהים,15,wiktionary,1,2,3,0
יר״א,יראי אלוהים,11,wiktionary,2,2,3,0
יר״ש,יראת שמים,131,wiktionary,1,2,3,0
יר״ש,ירא שמים,69,wiktionary,2,2,3,0
יש״ו,ימח שמו וזכרו,13,wiktionary,1,2,2,0
יש״ו,יש שם ושן,0,wiktionary,2,2,0,0
יש״י,יחידת השליטה הימית,44,wiktionary,1,2,3,0
יש״י,יחד שבטי ישראל,26,wiktionary,2,2,2,0
יש״ר,יוסף שלמה דלמדיגו,41,wikipedia,1,3,0,0
יש״ר,יצחק שמואל רג'יו,13,wikipedia,2,3,3,0
יש״ר,"רב איטלקי, מראשי תנועת חכמת ישראל",0,wiktionary,3,3,0,0
י״א,יש אומרים,659,wiktionary,1,4,3,0
י״א,ירא אדוני,0,wiktionary,2,4,0,0
י״א,שווה בגודלה למרחק כדור-הארץ מהשמש,0,wiktionary,3,4,0,0
י״א,שנת הלימודים האחת־עשרה של התלמידים בישראל,0,wiktionary,4,4,0,0
י״ח,יוסף חיים,1164,wiktionary,1,2,4,1
י״ח,יודעי חן,4,wiktionary,2,2,1,0
י״ל,יש להם,2509,wiktionary,1,5,3,0
י״ל,יש לומר,196,wiktionary,2,5,3,0
י״ל,יהודה לב,15,wiktionary,3,5,1,0
י״ל,יצחק לייבוש,11,wiktionary,4,5,6,3
י״ל,יראה לי,4,wiktionary,5,5,0,0
י״מ,יש מפרשים,82,wiktionary,1,2,3,0
י״מ,יפה מראה (פירוש על אגדות התלמוד ירושלמי),0,wiktionary,2,2,0,0
י״צ,יוסף צבי,412,wiktionary,1,2,3,0
י״צ,ישמרהו צורו,8,wiktionary,2,2,0,0
כד״א,כדור הארץ,7804,wikipedia+wiktionary,1,4,3,0
כד״א,כדוריות דם אדומות,68,wikipedia+wiktionary,2,4,3,0
כד״א,כמה דאת אמר,5,wikipedia+wiktionary,3,4,0,0
כד״א,כמה דאמר/דאמרינן/דאיתמר,0,wiktionary,4,4,0,0
כה״ג,כהן גדול,583,wiktionary,1,3,3,0
כה״ג,כנסת הגדולה,286,wiktionary,2,3,3,0
כה״ג,כהאי גוונא,9,wiktionary,3,3,2,0
כו״כ,כמה וכמה,920,wiktionary,1,2,3,0
כו״כ,כך וכך,114,wiktionary,2,2,3,0
כי״ח,כל ישראל חברים,459,wiktionary,1,2,4,1
כי״ח,כל יוצאי חלציו,0,wiktionary,2,2,0,0
כנ״ל,כך נראה לי (או: כן נראה לי),0,wiktionary,1,4,0,0
